id,name,party,sector,type
UVDL,Ursula von der Leyen,CDU,Politik,1
LK,Lars Klingbeil,SPD,Politik,2
NR,Norbert Röttgen,CDU,Politik,2
SW,Sahra Wagenknecht,Linke,Politik,1
CS,Constanze Stelzenmüller,Keine,Wissenschaft,1
CL,Christian Lindner,FDP,Politik,1
KS,Karl Schlögel ,Keine,Wissenschaft,1
LM,Ljudmyla Melnyk,Keine,Wissenschaft,1
KD,Kristina Dunz,Keine,Journalismus,2
EL,Egils Levits,Keine,Politik,1
AB,Annalena Baerbock,Grüne,Politik,1
FT,Frans Timmermans,Keine,Politik,2
AM,Andrij Melnyk,Keine,Politik,2
AGL,Alexander Graf Lambsdorff,FDP,Politik,1
ER,Egon Ramms,Keine,Militaer,2
RH,Robert Habeck ,Grüne,Politik,1
CM,Claudia Major,Keine,Wissenschaft,2
KP,Katja Petrowskaja,Keine,Journalismus,1
RK,Roderich Kiesewetter,CDU,Politik,1
CLA,Christine Lambrecht,SPD,Politik,1
SB,Stefanie Babst,Keine,Politik,2
CH,Christoph Heusgen,Keine,Militaer,2
MW,Marina Weisband,Keine,Journalismus,1
OS,Olaf Scholz,SPD,Politik,1
AW,Anne Will,Keine,Journalismus,1